OCOD3,SENWT,CNTSCHID,BSMJ,ST001D01T,GCSELFEFF,PV8RTSN,PV10RCER,MASTGOAL,PV4RCER,GCAWARE,PV4RTML,PV10RTSN,PV4RCLI,PV1RCER,PV7RCUN,PV1RTML,PV3RCUN,PV5RTSN,PV6RTSN,PV8RTML,PV3RCER,PV9RCLI,PV8RCLI,PV9MATH,PV6RTML,PV9READ,PV8RCUN,PV3READ,PV3RTSN,PV2RTSN,PV1GLCM,PV7RCER,PV8RCER,PV9RTSN,PV10RTML,PV6RCER,PV5RCUN,PV10RCLI,PV7RTML,Score_pond
2341.0,0.04309,72400320.0,76.49,10.0,1.1158,438.33,467.352,-0.5467,449.832,1.6476,430.318,416.332,438.84,431.056,464.244,426.291,461.865,486.787,439.803,469.49,476.856,441.66,421.263,405.245,442.029,482.009,459.39,417.894,500.151,500.627,449.452,481.368,487.937,445.299,411.061,468.04,433.91,540.036,444.805,1199.9143243242163
2211.0,0.05869,72400787.0,88.7,10.0,-0.9717,549.656,514.679,-0.9149,617.551,-0.4962,544.079,556.6,586.351,621.897,591.291,566.184,575.37,540.883,571.94,612.239,617.236,589.532,511.3,553.919,557.279,557.92,560.793,558.457,557.209,572.287,624.991,599.536,596.258,589.047,563.086,611.551,613.456,538.901,583.996,1486.0558918001857
2210.0,0.45858,72400318.0,88.7,10.0,-0.9578,453.176,476.667,0.3133,410.945,0.7324,451.148,448.33,459.38,417.794,471.539,431.782,495.865,468.625,407.539,466.912,462.626,445.818,433.849,473.426,472.109,461.09,484.57,485.273,466.742,450.518,523.939,417.906,454.433,485.044,453.776,432.615,462.404,479.652,447.424,1205.0519078295638
2619.0,0.03954,72400788.0,81.05,10.0,0.1904,450.46,483.605,-0.5589,495.634,0.7213,492.747,459.459,536.94,469.949,466.537,449.62,486.627,469.312,514.548,441.338,478.927,436.587,500.139,511.721,464.386,489.354,489.881,492.389,530.968,484.83,531.889,467.462,489.029,502.215,423.343,444.318,499.896,454.386,486.026,1277.0082404623524
2153.0,0.22135,72400001.0,80.75,10.0,-2.7142,531.672,557.208,-1.1295,561.282,-0.4111,542.908,535.336,529.155,534.336,513.978,544.345,511.569,521.173,474.801,562.416,529.17,531.229,543.218,494.326,526.118,540.537,511.372,480.799,539.354,521.832,528.582,553.405,539.296,502.46,529.915,547.47,461.199,532.008,533.988,1367.20034296646
2212.0,0.06508,72400456.0,81.92,10.0,-0.0725,488.371,560.357,1.4751,585.586,0.3352,557.12,552.174,589.226,576.078,587.319,593.896,497.414,573.749,554.178,571.901,544.611,557.201,562.25,583.239,569.169,569.877,571.135,565.406,608.669,566.732,635.569,640.706,573.414,555.16,581.85,573.322,559.029,575.085,596.069,1475.779408236922
2161.0,0.06047,72400255.0,79.74,10.0,-0.5851,430.017,444.653,-1.3162,530.187,-0.0549,487.945,493.027,520.22,464.678,435.022,477.275,493.39,472.941,453.45,501.148,417.153,517.414,467.405,423.677,483.65,470.272,486.319,469.696,445.764,461.527,476.343,429.636,492.353,455.759,518.992,502.31,488.0,463.865,492.238,1240.0653976450717
2212.0,0.13025,72400834.0,81.92,9.0,0.9683,536.308,549.83,0.8347,527.569,0.8831,562.938,526.969,563.595,582.47,537.536,518.746,551.654,484.957,499.058,571.386,580.104,433.967,536.637,516.796,499.221,551.171,534.267,512.59,493.648,551.977,543.99,545.321,505.131,575.674,605.371,508.771,525.268,534.037,483.861,1383.933430530736
2211.0,0.11477,72400686.0,88.7,10.0,0.5854,615.997,622.212,-0.4347,601.682,0.7721,572.403,617.915,571.087,636.13,605.008,599.664,596.408,625.145,595.495,581.793,645.067,585.112,585.662,589.351,585.204,599.633,567.932,608.661,614.695,603.442,657.917,596.539,631.091,571.762,642.921,647.52,611.601,553.428,585.291,1555.1476857263244
2212.0,0.11762,72400611.0,81.92,10.0,0.812,645.635,545.127,1.2329,579.019,0.6066,589.657,602.257,571.668,579.147,578.287,546.419,575.31,502.178,580.081,652.334,532.566,551.33,574.809,553.281,524.327,513.121,552.791,555.062,601.553,580.334,561.034,534.944,572.278,591.252,563.0,544.87,593.638,546.663,586.544,1468.70804917611
2611.0,0.60842,72400730.0,86.72,9.0,-0.009363520078286095,508.425,466.334,-0.2282,409.645,0.04302262034147881,466.071,489.578,423.201,467.064,468.385,470.787,446.183,484.186,523.549,477.653,446.113,449.493,518.434,511.558,487.49,441.261,481.585,464.082,468.817,448.227,477.486,451.644,411.363,497.034,458.532,455.466,477.907,436.314,449.442,1242.7489191099232
2131.0,0.1201,72400721.0,80.46,10.0,-0.4038,550.079,508.323,0.3468,588.016,-0.9885,559.054,579.332,560.156,521.511,493.451,533.182,488.74,570.792,557.017,600.288,505.655,540.491,560.088,570.42,555.173,567.852,552.49,537.879,567.14,529.72,600.832,550.881,497.965,561.323,578.5,547.495,548.419,550.893,536.441,1418.9927990767674
2264.0,0.12201,72400046.0,67.94,10.0,0.1904,522.357,522.831,0.5761,538.762,-0.0549,533.012,520.51,527.512,559.686,550.76,557.479,547.914,523.77,547.25,500.931,519.172,548.358,629.199,579.838,554.377,552.829,600.553,522.579,530.642,516.207,549.771,537.241,580.782,460.701,497.19,528.127,494.628,515.447,482.973,1392.046104358927
2634.0,0.06331,72400164.0,85.85,10.0,0.0508,493.659,454.02,-0.6331,479.467,0.0332,476.693,521.468,422.589,478.09,462.965,517.204,405.878,487.919,484.723,483.019,409.129,425.355,403.923,414.015,482.76,484.124,458.206,485.568,455.166,446.645,501.003,484.669,460.529,444.1,494.882,539.421,503.345,472.201,463.023,1248.2706819043851
2221.0,0.06269,72400209.0,68.7,10.0,0.0724,528.877,530.11,-1.526,563.32,0.3352,516.347,532.912,455.07,596.123,555.392,553.833,543.849,511.885,539.233,536.293,583.256,544.755,491.925,535.223,560.967,562.119,529.923,555.678,565.372,526.973,615.09,567.222,581.813,588.287,516.326,608.046,517.543,550.367,571.955,1418.932706461064
2330.0,0.03929,72400793.0,82.41,10.0,-0.1856,517.876,585.825,-0.8444,572.83,-0.0549,523.973,587.935,587.132,516.741,560.207,585.046,584.678,532.098,586.348,535.64,614.432,558.629,626.434,525.276,564.958,582.472,572.161,559.781,589.73,588.065,527.871,581.379,572.453,582.536,552.244,566.805,566.142,548.533,584.298,1470.5658130033064
2642.0,0.22915,72400745.0,72.83,10.0,-0.009363520078286095,410.156,501.351,-0.10330476856908791,427.482,0.04302262034147881,486.856,417.788,425.433,496.551,455.912,506.069,494.127,458.671,506.274,478.377,520.772,495.098,451.394,471.587,529.133,447.568,448.245,477.567,432.131,465.571,469.011,465.999,526.515,476.552,475.469,487.57,499.089,438.232,471.255,1255.892038376085
2149.0,0.05133,72400873.0,78.69,10.0,-0.009363520078286095,559.222,561.789,-1.7101,572.93,0.04302262034147881,558.406,538.901,528.158,584.026,498.921,497.456,537.399,586.184,521.914,589.643,558.005,534.569,582.744,570.636,505.707,482.633,545.052,495.49,556.371,568.093,586.84,547.299,593.947,528.632,550.103,596.211,538.18,494.54,576.986,1417.8783530956396
2161.0,0.10729,72400608.0,79.74,10.0,-0.1856,612.527,588.151,-0.4347,522.402,-0.6877,580.205,600.216,559.277,612.753,565.98,563.206,548.248,567.316,521.073,551.418,547.701,587.806,632.435,585.473,540.618,532.489,565.825,549.701,565.987,603.022,694.72,618.619,561.725,595.609,559.284,571.111,597.457,571.522,545.548,1483.8902771088628
5412.0,0.40915,72400771.0,51.5,10.0,0.0724,489.167,507.981,-0.6331,491.952,-0.5253,486.158,418.229,481.508,453.628,451.708,481.05,454.608,451.146,467.499,446.64,450.587,455.496,457.333,453.872,477.846,447.874,478.268,432.976,445.812,491.92,570.985,411.104,453.243,531.208,431.937,512.535,477.339,478.808,480.175,1364.2282808311431
